%			Universidad de Costa Rica 
% 		    Escuela de Ingeniería Eléctrica
%	Inteligencia Artificial Aplicada a la Ingeniería Eléctrica

%		Proyecto 1 - Biometría de Pasos
%	Vectores de características para el audio 1 y 2 de los datos train

% Creado por: Raquel Sofía Corrales Marín
% Fecha de creación: 20/9/2022

@relation pasos_train_clase1_y_clase2

@attribute atributo1 NUMERIC
@attribute atributo2 NUMERIC
@attribute atributo3 NUMERIC
@attribute atributo4 NUMERIC
@attribute atributo5 NUMERIC
@attribute atributo6 NUMERIC
@attribute atributo7 NUMERIC
@attribute atributo8 NUMERIC
@attribute atributo9 NUMERIC
@attribute atributo10 NUMERIC
@attribute atributo11 NUMERIC
@attribute atributo12 NUMERIC
@attribute atributo13 NUMERIC
@attribute atributo14 NUMERIC
@attribute atributo15 NUMERIC
@attribute atributo16 NUMERIC
@attribute atributo17 NUMERIC
@attribute atributo18 NUMERIC
@attribute atributo19 NUMERIC
@attribute atributo20 NUMERIC
@attribute atributo21 NUMERIC
@attribute atributo22 NUMERIC
@attribute atributo23 NUMERIC
@attribute atributo24 NUMERIC
@attribute atributo25 NUMERIC
@attribute atributo26 NUMERIC
@attribute atributo27 NUMERIC
@attribute atributo28 NUMERIC
@attribute atributo29 NUMERIC
@attribute atributo30 NUMERIC
@attribute atributo31 NUMERIC
@attribute atributo32 NUMERIC 
@attribute atributo33 NUMERIC
@attribute atributo34 NUMERIC
@attribute atributo35 NUMERIC
@attribute atributo36 NUMERIC
@attribute atributo37 NUMERIC
@attribute atributo38 NUMERIC
@attribute atributo39 NUMERIC
@attribute atributo40 NUMERIC
@attribute atributo41 NUMERIC
@attribute atributo42 NUMERIC
@attribute atributo43 NUMERIC
@attribute atributo44 NUMERIC
@attribute atributo45 NUMERIC
@attribute atributo46 NUMERIC
@attribute atributo47 NUMERIC
@attribute atributo48 NUMERIC
@attribute atributo49 NUMERIC
@attribute atributo50 NUMERIC
@attribute atributo51 NUMERIC
@attribute atributo52 NUMERIC
@attribute atributo53 NUMERIC
@attribute atributo54 NUMERIC
@attribute atributo55 NUMERIC
@attribute atributo56 NUMERIC
@attribute atributo57 NUMERIC
@attribute atributo58 NUMERIC
@attribute atributo59 NUMERIC
@attribute atributo60 NUMERIC
@attribute atributo61 NUMERIC
@attribute atributo62 NUMERIC
@attribute atributo63 NUMERIC
@attribute atributo64 NUMERIC
@attribute atributo65 NUMERIC
@attribute atributo66 NUMERIC
@attribute atributo67 NUMERIC
@attribute atributo68 NUMERIC
@attribute class {clase1, clase2}

@data
0.0640196, 0.00448553, 3.0578, 0.242096, 0.295081, 0.250248, 0.00269446, 0.0150583, -26.2781, 2.62237, 0.322974, 0.459978, 0.18716, 0.140743, 0.107555, 0.065238, 0.0157621, 0.0183901, 0.0609154, 0.108694, 0.103124, 0.00779369, 0.00200365, 0.0579765, 0.00881078, 0.0312194, 0.0153416, 0.0773055, 0.000961857, 0.00513636, 0.0181159, 0.0542328, 0.00216585, 0.032107, -8.33507e-06, -8.2251e-06, 0.001073, -0.000170833, -0.000140714, 0.000984385, 2.55629e-05, 0.000108333, 0.0100003, -0.00872778, -0.000104026, -0.00664084, -0.00192781, -0.0015786, -0.00550249, -0.00393355, 0.00284098, -0.00116752, -0.00116757, 0.0008462, 0.00056317, 3.00761e-05, -1.45957e-05, -6.64483e-06, 0.000182673, -0.000185455, 9.46185e-05, 0.000252197, 1.10685e-05, -4.60405e-05, -8.34666e-05, -0.000587845, 3.12537e-05, -1.20146e-05, clase1
0.0766931, 0.0103837, 3.05138, 0.265412, 0.299964, 0.353308, 0.00227343, 0.0231542, -25.1644, 2.34899, 0.55985, 0.586484, 0.168171, 0.167828, 0.155003, 0.0970826, 0.125399, 0.0523553, 0.059108, 0.0587961, 0.0538979, 0.0102896, 0.00195402, 0.055927, 0.00602167, 0.032372, 0.00597257, 0.0617641, 0.00114522, 0.00383827, 0.0317533, 0.046832, 0.00212366, 0.0293086, 0.00011044, -7.89758e-05, 0.000675732, 0.0009653, 0.000517261, -0.00019911, 1.43825e-05, -0.000495833, -0.0322029, 0.00996718, 0.0104823, 0.000136787, 0.000680454, 0.00180221, -0.000424448, 0.000162538, 0.00215437, -0.00222891, -0.000742417, -0.00291878, 0.000507749, -8.94211e-06, -9.74508e-06, -0.00041629, -3.84023e-05, 1.85328e-05, -5.52055e-05, 0.000332519, -4.9111e-05, 6.20015e-06, 0.000684462, -4.98361e-05, -1.74732e-05, 0.0001263, clase1
0.0795145, 0.0199608, 3.05504, 0.276178, 0.305826, 0.359652, 0.00277475, 0.0207292, -24.4896, 2.50471, 0.570334, 0.559764, 0.165962, 0.183549, 0.217064, 0.0563413, 0.0674175, 0.059588, 0.0959005, 0.0530338, 0.0345895, 0.00805848, 0.00146564, 0.0517263, 0.00691414, 0.0304038, 0.00715217, 0.0666467, 0.00100802, 0.00425017, 0.0241626, 0.0664556, 0.00211794, 0.0314479, -0.000225047, 6.61469e-05, 0.00173381, -0.000348083, -6.6463e-05, -0.000525339, 3.94754e-05, 4.16667e-06, 0.0102515, 0.000678807, -0.00448374, 0.0019872, 0.00292764, 0.000863288, -0.00130258, -0.00126374, -0.000979429, -0.00141486, -0.00322557, -0.000516506, 0.00175865, 2.40981e-05, -8.79129e-06, 0.000215576, 0.000172997, 0.00015198, 0.000176465, 0.000234893, 9.89793e-06, -6.82616e-06, -0.000500629, -0.000310163, 1.13492e-05, -0.000132536, clase1
0.0760658, 0.0104415, 3.04808, 0.265289, 0.3011, 0.351558, 0.00251622, 0.0235542, -25.2157, 2.54566, 0.402067, 0.447508, 0.156489, 0.271647, 0.205018, 0.101511, 0.0862207, 0.0407118, 0.0690234, 0.0403575, 0.065023, 0.0088364, 0.00185209, 0.0507152, 0.00723435, 0.032428, 0.00694043, 0.072637, 0.00119775, 0.00405422, 0.0231249, 0.0556717, 0.00229035, 0.0304541, 0.000391748, -0.00013623, 0.000876781, 0.000642283, 0.000109593, 0.00218567, 2.43546e-05, -3.33333e-05, -0.0128251, -0.00316374, 0.0130704, 0.00369047, -0.00666547, -0.00192336, -0.00168747, -0.00450801, -0.00449806, -0.00219279, 0.00296971, 0.00357588, 0.00243572, 2.10555e-06, -5.42212e-06, -0.00023518, 4.61316e-05, -2.11394e-05, 5.56985e-05, -0.000731416, -1.69408e-06, 7.98805e-05, -0.000173367, 0.000512324, -5.70912e-06, -7.8148e-05, clase1
0.0692665, 0.00306733, 3.07883, 0.253577, 0.294837, 0.311247, 0.00258197, 0.0269708, -27.1103, 2.47292, 0.592085, 0.481632, 0.0902372, 0.21205, 0.180761, 0.0692197, 0.0444661, 0.0096811, 0.00259859, 0.0398203, 0.0372295, 0.0179657, 0.00208754, 0.0441643, 0.00851289, 0.0295224, 0.0091083, 0.0640169, 0.0013471, 0.00359138, 0.0174981, 0.0612654, 0.00339605, 0.0305313, 0.000122942, -1.52838e-06, 0.00266431, -0.000268646, -0.00017842, 0.000605426, 4.84316e-05, 2.5e-05, 0.00586064, -0.00429541, -0.000877624, 0.00421265, -0.000191046, -0.00452565, -0.00154537, 0.00112705, -0.000907607, 0.00279321, 0.0026127, 0.000178523, -0.00170472, -7.02223e-05, 1.05588e-05, -0.000120223, 4.05617e-05, 7.48335e-05, 5.9733e-05, 0.000768097, -2.60258e-07, 2.54001e-05, 0.000517961, -0.00126863, 8.05761e-06, -0.000101986, clase1
0.067837, 0.0108662, 3.08317, 0.259045, 0.298578, 0.312256, 0.002678, 0.0199833, -25.3313, 2.5324, 0.646882, 0.509862, 0.123526, 0.088186, 0.15692, 0.0465181, 0.105233, 0.042875, 0.0461174, 0.031447, 0.028806, 0.0140402, 0.00258876, 0.0537637, 0.00955724, 0.033487, 0.0105672, 0.0686755, 0.000964111, 0.00525677, 0.0160364, 0.0554734, 0.00252419, 0.0314868, -0.000210461, 2.78971e-05, 0.00301486, 4.67903e-05, 0.000277917, -0.00320161, 2.13805e-05, -0.0006625, 0.00504342, 0.0135771, -0.00619764, -0.0030144, -0.00482351, -0.000100687, -0.00134059, 0.00285485, -0.00114095, 0.00167397, -0.00189693, 0.00396204, 0.00365958, 1.28814e-06, 1.97661e-05, -5.70923e-06, -5.52884e-05, 0.00022867, 5.3239e-05, 0.000335727, 8.79911e-06, 3.30124e-05, 0.000104003, -0.000198114, 0.000122561, 5.50624e-05, clase1
0.0676203, 0.00167813, 3.01214, 0.250282, 0.295275, 0.294197, 0.00239818, 0.0212292, -27.7928, 2.39758, 0.494381, 0.535086, 0.0894118, 0.174064, 0.162987, 0.0847178, 0.08599, 0.0212345, 0.0672975, 0.0380075, 0.0555866, 0.01158, 0.00169036, 0.046127, 0.0085084, 0.0304898, 0.00604353, 0.0926416, 0.00105705, 0.00387425, 0.0187106, 0.0535759, 0.00250469, 0.0338117, 0.000210461, -6.2878e-06, -0.00178002, 0.000345465, 0.000258625, -0.000269116, 2.55726e-05, -1.66667e-05, -0.0134604, 0.00900909, 0.00517033, -0.000455993, -0.00192489, 0.001513, -0.00172394, -0.00280978, -0.00355364, -0.00169129, -0.00321848, -0.000208809, 0.00547596, -3.78613e-06, -3.93401e-07, -0.000644115, 3.58336e-05, 0.000844192, 8.13422e-06, 0.00101897, -1.25316e-06, 2.80336e-05, 0.000203475, -0.00128415, -7.30146e-06, -7.983e-05, clase1
0.0585247, 0.00659524, 3.05713, 0.230215, 0.287151, 0.250135, 0.00257096, 0.01935, -25.662, 2.499, 0.463699, 0.577032, 0.120013, 0.107917, 0.223564, 0.0587813, 0.0379964, 0.0632683, -0.0190222, 0.000169286, 0.0137885, 0.01136, 0.00222607, 0.0497188, 0.011101, 0.0248207, 0.00676184, 0.0715887, 0.00111583, 0.00474455, 0.0244008, 0.0603346, 0.00235926, 0.0295597, 0.000245885, 3.45847e-06, 0.000107724, -0.000678607, -0.000548733, 0.00265439, 1.21554e-05, 0.000691667, 0.0241348, -0.0183216, 0.00123386, 0.00291601, -0.00503037, 0.000143595, 0.00209592, -0.00160781, 0.00123652, -0.000217208, -0.00270012, 0.00311406, 0.00130105, 3.79081e-05, 3.06268e-06, 0.000134017, 2.24386e-05, -7.62079e-05, 2.63717e-05, 0.000186958, 1.65833e-05, 7.28447e-05, 6.83652e-05, -0.00107071, 1.54164e-05, -0.000187281, clase1
0.0550573, 0.0134481, 3.05587, 0.234416, 0.294291, 0.210522, 0.00317276, 0.0166083, -24.9983, 2.73722, 0.449017, 0.479636, 0.14732, 0.183438, 0.272206, 0.0831646, -0.00269569, 0.0233084, 0.00390463, 0.0261008, 0.0182328, 0.0153226, 0.0017147, 0.0518789, 0.00790288, 0.032795, 0.0101372, 0.0723432, 0.00121487, 0.00324216, 0.0183611, 0.062483, 0.00190473, 0.0313243, 0.000135445, -1.63448e-05, -0.00182165, 0.000233445, 0.000281823, -0.00108133, 3.75817e-05, -0.0002375, -0.0065157, 0.00858938, -0.00301, -0.00323987, 0.00109759, 0.000887865, -0.00176672, 0.00306989, 0.00337507, -0.00311921, -0.00126621, -0.00320052, 0.000228055, 3.927e-05, -3.37002e-06, -0.00128081, 5.44073e-05, 5.30427e-05, -4.689e-05, 0.00044384, -8.57767e-06, -1.26135e-05, -0.000161296, 0.0011202, 1.24208e-05, 4.82981e-05, clase1
0.0663867, 0.00748395, 3.0363, 0.255337, 0.299339, 0.279963, 0.00268716, 0.0149417, -25.8729, 2.63744, 0.53564, 0.50572, 0.106059, 0.12793, 0.17867, 0.0701484, 0.0195278, -0.0224013, 0.0355951, -0.00382144, 0.00295408, 0.0207042, 0.00204964, 0.055525, 0.0132792, 0.0330803, 0.0104871, 0.0775543, 0.000787478, 0.00300562, 0.0190508, 0.0488707, 0.00257941, 0.0322215, 4.79267e-05, 0.000249812, -0.00690591, -0.00110421, -0.000683206, -0.00152335, 3.19175e-05, 5e-05, 0.0378776, 0.00412358, -0.00301588, -0.00835717, -0.00047926, -0.00340814, -0.000580606, -0.001312, 0.000437754, 0.00121038, -0.00123934, -0.0013704, -0.00205839, 0.000112556, 0.000127119, -0.000386855, 0.000173677, -2.78814e-05, 0.000148157, -0.000945968, 3.0619e-05, 0.000186962, -0.000285403, -6.4838e-05, -4.68409e-06, -0.000284955, clase1
